date,scenario_code,scenario_name,driver_rank,signal_name,signal_label,metric_type,driver_effect,contribution,raw_value,normalized_value,aligned_value,unit_score
2022-05-06,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,uso_ret_5d,USO 5d return,ret_z,supporting,0.096612,0.064412,0.966123,0.966123,0.741531
2022-05-06,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,dbc_ret_20d,DBC 20d return,ret_z,supporting,0.031836,0.072376,0.636721,0.636721,0.65918
2022-05-08,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.099067,0.034106,1.98135,1.98135,0.995337
2022-05-09,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,34.75,2.717733,2.717733,1.0
2022-05-09,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.090457,0.032233,1.809144,1.809144,0.952286
2022-05-09,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.08969,-0.039351,-1.793803,1.793803,0.948451
2022-05-10,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,32.990002,2.32773,2.32773,1.0
2022-05-10,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.1,0.039028,2.33769,2.33769,1.0
2022-05-10,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.093775,-0.041525,-1.875508,1.875508,0.968877
2022-05-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,32.560001,2.21399,2.21399,1.0
2022-05-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,spy_ret_5d,SPY 5d return,ret_z,supporting,0.1,-0.084627,-3.783953,3.783953,1.0
2022-05-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.1,0.044992,2.779281,2.779281,1.0
2022-05-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,31.77,2.035766,2.035766,1.0
2022-05-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,offsetting,-0.107474,-0.028322,-1.43298,-1.43298,0.141755
2022-05-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.1,-0.051884,-2.24255,2.24255,1.0
2022-05-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,gld_ret_5d,GLD 5d return,ret_z,offsetting,-0.143037,-0.037795,-1.907158,-1.907158,0.02321
2022-05-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,vix_level_z,VIX level,level_z,supporting,0.109629,28.870001,1.461722,1.461722,0.86543
2022-05-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.04928,-0.023387,-0.985607,0.985607,0.746402
2022-05-15,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.1,0.04029,2.304937,2.304937,1.0
2022-05-16,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,uso_ret_5d,USO 5d return,ret_z,supporting,0.137752,0.085412,1.377516,1.377516,0.844379
2022-05-16,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.097429,0.036022,1.948584,1.948584,0.987146
2022-05-16,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,vix_level_z,VIX level,level_z,supporting,0.088962,27.469999,1.186164,1.186164,0.796541
2022-05-17,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,uso_ret_5d,USO 5d return,ret_z,supporting,0.142334,0.088287,1.423339,1.423339,0.855835
2022-05-17,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,vix_level_z,VIX level,level_z,supporting,0.069005,26.1,0.920071,0.920071,0.730018
2022-05-17,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,offsetting,-0.051274,0.023128,1.025482,-1.025482,0.243629
2022-05-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.138019,30.959999,1.840256,1.840256,0.960064
2022-05-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.087202,0.03362,1.744038,1.744038,0.936009
2022-05-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,gld_ret_5d,GLD 5d return,ret_z,offsetting,-0.072472,-0.019674,-0.966293,-0.966293,0.258427
2022-05-19,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.113964,29.35,1.519518,1.519518,0.87988
