ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
034020.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.006608,high,-0.006608,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.006608
035420.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.052537,low,-0.052537,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.052537
035420.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.043882,low,0.043882,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=0.043882
035420.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.08921,low,0.08921,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=0.08921
035420.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.400204,medium,0.400204,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.400204
035420.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.007373,high,-0.007373,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.007373
035720.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.092519,low,-0.092519,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.092519
035720.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.024498,low,-0.024498,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=-0.024498
035720.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.043428,low,0.043428,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=0.043428
035720.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.648887,high,0.648887,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.648887
035720.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.009532,high,-0.009532,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.009532
051910.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,negative,0.113761,low,-0.113761,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.113761
051910.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.087243,low,-0.087243,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=-0.087243
051910.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.170722,low,-0.170722,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.170722
051910.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.611895,high,0.611895,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.611895
051910.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.007423,high,-0.007423,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.007423
055550.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.080858,low,-0.080858,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.080858
055550.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.146797,low,-0.146797,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=-0.146797
055550.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.201937,low,-0.201937,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.201937
