ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
005380.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.133293,low,0.133293,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.133293
005380.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.026008,low,-0.026008,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.026008
005380.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.777292,high,0.777292,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.777292
005380.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005493,high,-0.005493,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.005493
005490.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.007101,low,0.007101,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=0.007101
005490.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.101999,low,0.101999,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.101999
005490.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.22686,low,-0.22686,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.22686
005490.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.5352,medium,0.5352,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.5352
005490.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005251,high,-0.005251,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.005251
005930.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.040335,low,0.040335,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,beta_sp500_1y_krw=0.040335
005930.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.096471,low,0.096471,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,downside_beta_sp500_1y_krw=0.096471
005930.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.006385,low,-0.006385,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,corr_sp500_60d_krw=-0.006385
005930.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.940514,high,0.940514,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,corr_kospi200_60d_krw=0.940514
005930.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005363,high,-0.005363,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,avg_stress_ret_krw=-0.005363
006400.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.042658,low,0.042658,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=0.042658
006400.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.091891,low,0.091891,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=0.091891
006400.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.119009,low,-0.119009,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.119009
006400.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.35888,medium,0.35888,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.35888
006400.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.00733,high,-0.00733,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.00733
011200.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.046888,low,-0.046888,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.046888
011200.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.096459,low,-0.096459,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=-0.096459
011200.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.186211,low,-0.186211,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.186211
011200.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.458512,medium,0.458512,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.458512
011200.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.000737,low,-0.000737,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.000737
017670.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.000387,low,-0.000387,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.000387
017670.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.036631,low,0.036631,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,defensive_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.036631
