ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
TSLA,us_stock,US,US_MARKET_TRADING_DAYS,4008,4010,0.0,0.820303,0.999501,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
TSM,us_stock,TW,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
UNG,commodity_etf,US,US_MARKET_TRADING_DAYS,4814,4816,0.0,0.985264,0.999585,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
UNH,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
URA,equity_etf,GLOBAL,US_MARKET_TRADING_DAYS,3917,3919,0.0,0.801678,0.99949,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
USMV,equity_etf,US,US_MARKET_TRADING_DAYS,3676,3679,0.0,0.752354,0.999185,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
USO,commodity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
V,us_stock,US,US_MARKET_TRADING_DAYS,4582,4584,0.0,0.937781,0.999564,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
VCIT,bond_etf,US,US_MARKET_TRADING_DAYS,4157,4159,0.0,0.865681,0.999519,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
VCSH,bond_etf,US,US_MARKET_TRADING_DAYS,4157,4159,0.0,0.865681,0.999519,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
VGIT,bond_etf,US,US_MARKET_TRADING_DAYS,4157,4159,0.0,0.865681,0.999519,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
VGLT,bond_etf,US,US_MARKET_TRADING_DAYS,4130,4132,0.0,0.860058,0.999516,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
VGSH,bond_etf,US,US_MARKET_TRADING_DAYS,4157,4159,0.0,0.865681,0.999519,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
