candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_cash_bootstrap_robust_count,target_cash_bootstrap_count,target_cash_bootstrap_min_p_improve,target_cash_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
multi,FXY + SPLV,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,16328772448.794792,198562.37,0.0012,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
one_to_one,132030.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,5987808271.5,227205.0,0.0038,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; downside beta 증가 하드 게이트
one_to_one,153130.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,4021733917.271337,226610.0,0.0056,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
one_to_one,261240.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,1934901095.5,219590.0,0.0113,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달
one_to_one,BTAL,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,17558403987.69938,228950.36,0.0013,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달
one_to_one,INDA,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,566594693757.6759,220427.65,0.0,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
one_to_one,NFLX,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,5216576911619.432,124795.77,0.0,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,beta/corr 감소 미달
one_to_one,SPLV,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,287491210111.256,221621.12,0.0001,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
one_to_one,USMV,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,334602387752.4615,147900.44,0.0,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
one_to_one,VXUS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,804299938468.1437,131971.99,0.0,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
