ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
WMT,us_stock,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XBI,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLB,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLC,equity_etf,US,US_MARKET_TRADING_DAYS,2004,2005,0.0,0.4099,0.999501,0,0,0,742,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLE,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLF,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLI,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLK,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLP,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLU,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLV,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XLY,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XOM,us_stock,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XOP,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
XRP-USD,crypto,GLOBAL,US_MARKET_TRADING_DAYS,3134,2156,0.0,1.0,1.453618,0,0,2,1299,PASS,WARN,FAIL,True,extreme_return_outlier_warn|fx_missing_fail,FAIL,FAIL
XRT,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
